category,rating,num_reviews,brand_tier,price
sports,3.2,417,1,222.24
sports,4.3,163,1,86.87
clothing,3.6,1067,1,109.57
phone,4.0,264,1,296.18
clothing,3.2,2763,3,242.95
toys,5.0,704,2,75.52
toys,3.2,2294,1,37.09
food,4.3,648,1,6.32
beauty,4.6,973,2,244.37
appliances,3.8,1268,3,2688.07
appliances,3.4,30,1,1062.68
food,4.0,1378,2,45.42
electronics,3.4,972,3,631.34
sports,4.0,166,2,255.79
toys,4.4,648,3,157.81
food,3.6,249,1,14.63
toys,3.6,1756,3,197.02
appliances,4.6,935,2,1458.01
clothing,4.3,13,1,22.13
books,4.8,1523,2,75.49
food,3.4,16,1,34.53
books,4.7,638,3,69.45
electronics,3.7,970,3,955.29
beauty,3.7,1543,2,276.11
beauty,3.7,107,2,242.88
clothing,3.3,479,2,147.66
food,3.2,190,1,22.13
electronics,5.0,1921,3,843.98
toys,3.9,584,3,176.14
sports,4.3,231,1,76.15
sports,4.7,1643,3,472.43
sports,4.0,91,1,132.96
food,4.5,2649,3,63.07
beauty,5.0,942,2,165.69
sports,4.1,218,1,238.58
furniture,3.8,5337,3,2119.22
furniture,3.9,1101,3,2110.91
phone,3.9,1135,3,1449.71
food,3.5,2105,3,68.04
clothing,3.3,912,3,260.86
electronics,3.7,86,1,205.96
sports,4.7,2982,3,562.07
food,3.8,901,3,63.94
food,4.0,615,3,55.27
sports,3.8,59,1,68.03
electronics,4.2,1171,1,390.82
beauty,3.5,456,3,310.0
appliances,4.0,679,1,1177.4
clothing,4.6,1756,3,275.35
beauty,3.8,144,1,39.69
food,3.9,37,1,14.35
clothing,3.5,188,1,35.7
appliances,2.8,4396,3,2431.72
toys,3.9,498,2,133.28
sports,3.9,248,2,280.99
clothing,4.4,1764,3,211.15
toys,3.1,1103,3,145.76
sports,4.0,852,3,422.89
books,4.0,759,2,58.16
books,4.3,739,3,98.78
food,2.9,104,1,11.98
furniture,3.3,544,1,1002.3
appliances,3.0,856,2,1527.32
furniture,3.1,312,2,1698.01
sports,5.0,173,2,294.94
phone,4.2,17,1,219.43
books,4.5,191,1,27.11
toys,3.0,5578,3,141.05
clothing,3.6,178,1,61.46
clothing,3.6,1602,2,199.34
sports,3.6,233,2,399.14
furniture,4.1,150,2,1715.11
beauty,3.3,463,3,327.27
furniture,3.6,410,2,864.57
toys,4.3,1777,3,153.26
beauty,4.4,101,1,18.38
clothing,4.0,1751,3,282.59
beauty,4.7,421,1,113.92
phone,3.8,88,1,352.91
electronics,4.2,626,2,486.38
beauty,3.3,360,2,228.99
electronics,3.1,1011,3,907.62
food,3.7,858,1,24.32
electronics,4.1,688,2,728.65
toys,5.0,154,1,16.16
books,4.3,115,1,22.56
furniture,3.8,664,2,1099.62
clothing,3.4,537,3,245.74
food,4.4,1372,3,55.59
beauty,4.0,198,2,179.97
furniture,4.1,1066,2,1361.97
toys,3.0,276,1,78.31
appliances,3.3,81,1,1113.72
phone,3.0,179,1,637.41
sports,4.9,315,2,247.12
furniture,3.9,368,1,589.29
phone,3.8,785,3,1352.34
food,4.1,137,1,35.37
furniture,3.5,1250,3,2070.18
furniture,3.7,73,1,621.94
toys,5.0,1832,2,105.51
phone,4.3,1998,3,1525.65
sports,4.5,2027,2,439.74
toys,3.3,571,3,151.77
food,5.0,1818,2,58.26
toys,5.0,102,1,47.88
phone,5.0,323,1,439.96
toys,4.2,253,2,145.98
furniture,3.0,133,1,948.95
beauty,3.6,249,1,132.24
furniture,3.5,219,1,320.6
phone,4.1,568,3,1193.21
books,3.9,775,2,39.99
clothing,3.7,939,2,126.73
books,4.5,513,2,69.24
beauty,4.3,1141,2,166.39
sports,4.2,494,2,317.22
furniture,3.6,680,1,535.43
furniture,4.2,1729,3,1861.06
phone,5.0,531,2,1154.52
toys,3.7,344,1,53.42
furniture,4.0,270,1,344.93
food,4.6,1002,3,74.38
furniture,3.6,70,1,673.3
books,4.6,27,1,36.18
furniture,3.2,3078,3,1991.76
electronics,4.8,1645,3,741.75
food,4.7,69,1,17.72
electronics,3.9,105,1,99.99
beauty,3.4,652,1,124.98
electronics,3.5,327,2,621.12
furniture,3.8,272,2,943.7
toys,3.8,1391,2,83.38
clothing,3.7,108,2,185.85
sports,4.6,644,2,288.91
electronics,3.8,3804,3,817.78
electronics,3.9,507,3,968.56
books,3.7,92,1,29.06
books,3.8,29,1,26.11
clothing,3.3,629,2,203.24
toys,3.1,135,1,14.95
beauty,3.3,732,2,130.25
furniture,3.5,96,1,623.37
books,4.4,173,2,73.46
books,3.2,812,3,95.71
furniture,4.5,739,3,2292.13
furniture,3.4,869,3,2018.65
food,4.6,615,2,31.09
appliances,4.8,81,1,854.02
books,3.8,560,2,57.87
toys,3.6,1538,2,96.82
food,4.2,3325,3,77.63
beauty,4.4,1796,3,313.03
furniture,3.3,1924,2,1722.83
books,3.8,332,1,41.13
furniture,3.8,1590,3,1971.13
food,4.6,145,1,6.49
beauty,5.0,147,1,157.05
phone,3.6,342,2,662.29
furniture,4.1,266,2,1375.04
beauty,4.6,138,1,165.07
books,3.5,184,1,39.74
sports,4.1,767,2,401.13
sports,4.2,362,1,195.73
phone,3.8,910,3,1463.21
food,4.7,121,1,9.93
electronics,4.2,110,1,222.34
books,4.8,1347,3,100.3
phone,5.0,623,3,1230.17
furniture,3.9,625,2,1304.52
sports,4.5,1355,3,434.65
furniture,3.8,600,2,875.57
beauty,4.0,407,1,73.65
appliances,4.8,207,1,471.32
appliances,3.6,767,2,2107.51
toys,4.4,2902,2,91.09
furniture,4.6,26,1,138.04
toys,4.6,704,2,143.25
books,4.5,1836,3,80.69
electronics,4.1,326,2,445.19
sports,3.3,722,2,245.17
phone,3.9,778,2,987.8
books,4.7,297,1,43.72
sports,3.8,468,3,580.23
toys,4.0,4747,3,150.67
food,4.5,27,1,20.01
sports,3.3,1703,3,540.25
phone,5.0,203,1,244.24
clothing,3.4,2029,3,204.62
electronics,4.0,2808,3,690.77
phone,3.7,107,2,653.66
clothing,4.6,228,2,202.48
clothing,2.8,2079,3,256.04
clothing,2.5,382,2,149.96
clothing,3.8,496,3,267.74
electronics,3.3,295,2,393.26
beauty,3.6,589,1,36.55
appliances,3.9,1312,2,1576.34
books,4.8,3551,3,75.6
furniture,3.2,158,1,637.4
beauty,4.1,242,1,69.03
sports,4.0,502,2,231.4
toys,3.7,3696,3,198.6
sports,4.0,35,1,256.74
beauty,4.1,1013,3,277.53
electronics,3.7,1296,3,671.81
phone,4.4,1172,3,1327.39
phone,3.6,498,2,838.02
appliances,3.7,763,3,2939.73
books,4.8,39,1,21.02
appliances,3.7,216,2,1485.29
beauty,3.9,924,3,284.41
electronics,3.4,1633,3,976.24
books,4.6,349,1,27.78
beauty,3.4,3135,3,392.78
phone,4.8,1702,3,1267.23
food,3.3,857,3,77.23
food,3.9,41,1,33.33
furniture,3.9,31,1,776.1
electronics,3.9,148,2,568.25
toys,3.8,1650,3,154.67
beauty,4.0,150,1,75.33
books,5.0,1076,3,106.23
furniture,3.1,340,1,408.72
sports,4.6,180,2,321.02
phone,3.6,2840,3,1187.12
clothing,4.7,117,1,136.53
sports,4.7,1080,2,433.45
toys,4.1,153,2,90.24
phone,4.2,1384,3,1103.76
beauty,4.9,92,1,97.72
toys,3.6,155,2,79.23
electronics,3.6,376,1,317.59
books,3.1,2479,3,90.25
food,4.5,565,1,22.98
phone,4.7,33,1,217.28
beauty,3.0,14,1,71.74
clothing,3.6,673,2,215.01
beauty,3.7,634,3,332.53
beauty,4.4,299,2,264.12
clothing,3.7,68,1,48.86
food,3.7,460,1,24.41
phone,3.5,1024,3,1485.19
phone,4.3,231,2,1102.83
beauty,4.0,108,2,217.37
clothing,4.4,583,2,151.37
appliances,2.3,1589,1,1187.43
clothing,3.8,2243,3,294.33
food,4.7,1896,3,66.44
beauty,3.9,597,3,300.83
appliances,4.1,624,2,1407.29
sports,4.1,766,2,286.48
books,4.3,1747,2,58.67
phone,4.0,1672,3,1451.29
furniture,3.1,699,1,396.63
furniture,4.3,415,2,1248.09
electronics,4.4,1950,2,710.61
furniture,4.2,684,2,1001.94
books,3.8,120,1,14.75
beauty,4.5,964,3,320.75
beauty,3.1,565,2,137.79
appliances,3.4,1185,3,2955.85
furniture,4.7,115,1,765.63
phone,4.5,2650,3,1160.93
clothing,3.8,304,1,22.77
clothing,3.8,1169,2,138.85
phone,4.2,701,2,1140.02
food,2.9,441,2,36.43
furniture,4.2,112,1,642.58
clothing,4.0,296,2,136.78
books,3.4,345,1,9.04
appliances,3.0,498,2,1723.48
appliances,2.8,125,1,379.22
books,4.2,114,1,18.83
electronics,3.8,890,3,874.25
appliances,2.6,2140,3,1794.1
beauty,3.8,151,1,66.41
phone,3.2,119,2,659.06
furniture,3.1,48,1,1028.08
appliances,3.8,459,2,1111.21
furniture,4.0,764,2,976.1
books,3.3,688,2,53.93
phone,4.1,1314,3,1265.47
phone,4.5,2705,2,1070.42
appliances,4.9,86,1,1045.78
clothing,4.3,195,2,160.66
books,3.8,1038,2,46.6
electronics,4.3,136,1,210.7
furniture,4.4,1662,2,1075.39
food,4.8,649,1,28.11
toys,4.7,229,1,83.31
sports,4.2,18,1,110.39
phone,4.5,259,1,495.15
furniture,3.3,211,1,370.74
beauty,3.7,259,2,191.13
books,4.2,246,2,41.3
furniture,4.7,182,1,914.35
electronics,3.3,1088,3,934.96
furniture,4.2,217,2,1377.38
sports,3.4,22,1,148.22
toys,3.9,425,3,134.5
clothing,3.7,137,1,30.16
toys,4.0,358,2,130.31
beauty,3.5,157,2,223.59
electronics,5.0,207,2,384.21
furniture,4.2,164,1,144.23
electronics,4.2,540,1,68.02
toys,3.9,372,2,110.42
sports,4.5,797,1,239.93
food,5.0,621,2,51.93
phone,3.8,452,1,221.21
toys,4.2,755,1,11.23
furniture,3.7,234,2,1791.76
sports,5.0,618,3,618.65
clothing,3.7,257,2,123.34
sports,3.9,1856,3,557.24
food,4.1,967,3,79.59
electronics,4.4,894,1,188.75
beauty,4.5,246,1,159.55
phone,4.2,147,2,961.95
appliances,4.6,1297,3,2183.81
books,4.0,132,1,33.56
beauty,4.5,502,2,147.97
electronics,3.5,653,3,618.75
appliances,3.7,640,3,2259.08
toys,4.6,1332,3,187.4
books,4.2,120,1,36.91
beauty,3.6,229,2,175.22
furniture,5.0,682,2,1321.19
toys,3.9,491,3,172.17
furniture,4.0,553,1,461.4
beauty,3.3,590,2,247.24
electronics,4.4,2821,3,685.9
clothing,4.7,121,2,189.98
food,3.3,550,2,35.8
electronics,3.6,6109,3,934.13
sports,4.4,838,2,217.6
clothing,3.9,256,2,148.12
electronics,4.1,88,1,430.56
food,4.0,67,1,11.52
food,5.0,51,1,23.0
toys,4.7,237,1,49.99
beauty,3.4,757,2,184.01
appliances,3.9,360,1,434.89
appliances,4.0,210,2,1490.91
food,5.0,168,1,14.9
books,4.0,346,1,38.31
toys,3.7,180,1,24.42
beauty,3.4,3571,3,334.57
clothing,3.8,1952,2,187.42
clothing,3.8,895,2,110.4
beauty,3.9,1693,3,401.59
electronics,4.6,36,1,237.58
toys,4.1,82,1,81.62
food,3.7,1009,3,69.71
phone,2.1,29,1,192.16
phone,4.2,1526,3,1049.53
electronics,3.3,43,1,152.27
clothing,5.0,220,1,96.61
electronics,4.8,543,3,690.62
food,4.0,127,2,44.66
clothing,3.5,264,1,69.37
appliances,4.0,2721,2,1868.49
electronics,4.5,7527,3,1042.12
sports,5.0,1326,3,509.12
furniture,2.4,554,2,1023.1
food,3.3,3537,3,64.06
clothing,3.8,1920,3,227.77
beauty,4.7,1576,3,341.05
food,4.6,171,2,44.42
food,3.9,229,2,54.4
clothing,4.3,617,3,241.45
appliances,3.0,584,1,330.83
appliances,3.1,422,2,1588.88
food,4.5,616,2,47.85
electronics,3.2,407,2,337.2
food,4.6,376,1,31.77
toys,3.8,451,3,200.72
food,3.8,2375,3,61.73
beauty,2.9,237,1,118.24
sports,3.8,1111,3,579.23
furniture,3.1,684,2,1238.47
clothing,3.9,3692,3,235.29
phone,5.0,197,1,424.32
phone,3.3,1155,1,353.57
food,4.5,10,1,11.59
appliances,3.6,635,2,1196.14
books,4.2,237,1,14.39
beauty,4.2,95,1,109.59
books,5.0,288,2,64.12
food,4.3,306,2,46.91
phone,3.4,208,1,205.18
phone,4.2,183,1,582.41
phone,4.4,536,3,1540.28
toys,4.1,538,3,163.85
books,4.4,120,2,62.32
appliances,5.0,212,2,2221.56
furniture,4.5,76,1,992.8
books,4.8,202,1,42.11
furniture,4.3,1425,3,1649.94
sports,3.4,1023,3,408.61
toys,3.3,171,1,55.07
clothing,3.0,607,2,102.32
beauty,3.4,1331,3,352.2
furniture,3.5,1763,3,2127.63
phone,4.1,432,2,726.32
sports,3.8,508,3,471.65
food,5.0,832,1,10.31
beauty,4.7,1073,1,118.86
food,4.7,1822,3,64.09
appliances,3.7,1392,2,1782.59
books,4.6,158,1,33.94
furniture,4.0,2038,3,2025.18
books,4.2,458,3,92.76
beauty,3.9,614,1,65.41
furniture,3.7,595,2,1742.2
books,4.0,189,1,12.45
beauty,4.8,999,3,379.73
books,4.7,871,3,97.77
furniture,3.1,2936,3,2025.2
sports,3.4,93,1,235.76
beauty,3.4,1544,3,377.88
clothing,4.3,814,2,133.54
sports,4.6,439,1,64.7
phone,4.9,821,2,646.53
food,3.8,624,2,50.21
furniture,3.2,115,1,726.62
phone,4.2,320,1,412.58
food,4.4,3308,3,60.94
phone,3.7,730,2,1048.45
phone,3.3,184,2,1003.05
phone,4.2,957,2,708.54
appliances,4.6,211,2,2097.96
beauty,3.0,1800,3,373.55
food,4.1,1600,3,62.23
toys,5.0,483,3,151.04
toys,4.0,472,2,115.75
toys,3.3,20,1,12.35
toys,3.5,792,3,164.32
phone,3.8,141,1,336.16
food,5.0,407,2,34.04
toys,3.9,6844,3,151.79
books,3.8,699,1,22.77
phone,4.8,34,1,313.97
books,4.0,2286,2,55.57
food,3.4,453,1,14.66
sports,3.8,1051,3,534.23
beauty,4.8,1399,2,267.73
phone,3.1,388,2,724.93
books,3.6,508,2,51.19
food,3.3,185,2,32.08
sports,4.4,1477,3,502.44
beauty,2.8,345,1,120.64
books,3.6,1306,3,77.62
food,4.0,578,3,81.44
furniture,4.6,178,1,250.16
food,3.2,468,3,67.74
furniture,3.3,1987,2,1250.67
books,3.7,17,1,20.71
clothing,2.8,116,2,145.86
beauty,4.5,534,3,357.62
toys,3.9,95,1,42.27
toys,4.2,209,1,33.64
books,4.2,508,2,42.3
appliances,3.8,186,2,1316.65
electronics,4.0,1401,3,908.61
appliances,4.0,2026,3,2710.48
clothing,3.4,92,1,38.78
beauty,3.8,187,2,132.78
phone,3.7,67,1,698.76
toys,3.7,31,1,26.35
phone,4.1,1066,3,1111.26
sports,4.2,250,2,307.17
appliances,3.3,323,2,1672.05
toys,4.6,262,2,117.53
books,4.0,1018,3,99.46
toys,4.0,816,3,152.25
phone,4.1,1235,2,796.73
appliances,3.4,729,3,2935.78
books,4.5,318,2,45.91
beauty,5.0,854,2,224.03
clothing,3.4,1261,3,278.39
toys,4.1,1860,2,77.36
phone,4.6,3052,3,1446.03
phone,5.0,4431,3,1590.16
phone,4.4,553,2,733.16
books,3.7,64,1,11.09
books,3.8,1266,2,58.86
sports,4.5,1743,3,457.45
beauty,2.6,261,2,245.31
appliances,3.1,1567,3,1864.62
phone,4.9,409,3,1411.88
books,3.0,279,1,31.21
furniture,3.5,741,3,2461.66
toys,3.7,483,3,158.15
food,4.3,2474,3,82.34
electronics,4.3,987,3,764.3
phone,3.3,1999,3,989.37
clothing,4.0,280,2,184.28
phone,4.5,1381,1,645.21
electronics,3.4,350,2,670.46
toys,3.8,2599,3,200.33
books,4.9,1086,3,89.65
sports,4.3,278,2,349.24
clothing,4.0,871,3,216.0
phone,4.1,544,1,394.21
phone,3.6,211,1,536.58
furniture,4.3,122,1,228.81
phone,3.9,586,3,1472.11
food,4.1,841,2,47.25
toys,3.4,764,1,71.79
electronics,4.1,875,3,912.03
books,4.9,446,2,49.42
appliances,3.9,641,2,1686.48
furniture,3.1,174,2,1339.84
appliances,4.1,1073,3,2912.45
phone,3.4,1003,2,961.85
appliances,4.1,475,3,2685.48
clothing,5.0,1154,3,257.49
phone,4.4,272,2,788.59
phone,3.9,834,1,633.71
books,4.6,211,1,29.28
toys,3.5,1918,3,139.75
phone,4.3,95,1,734.71
electronics,3.4,1120,3,655.56
electronics,3.3,196,2,485.46
beauty,4.7,842,1,78.63
electronics,3.6,13,1,91.57
sports,2.7,483,1,237.03
clothing,4.0,4469,3,208.95
phone,3.3,647,3,1447.33
electronics,3.5,400,2,349.61
toys,4.4,151,1,72.23
sports,5.0,337,2,248.8
toys,4.5,13,1,76.04
clothing,3.1,425,2,188.03
clothing,4.3,203,1,51.19
sports,3.4,2482,3,500.48
books,3.8,840,2,68.26
food,4.0,442,3,75.6
books,3.4,548,1,33.08
sports,3.5,388,2,387.33
food,3.9,912,3,52.05
furniture,4.2,994,2,1384.95
books,4.4,196,2,50.61
sports,4.5,88,1,50.53
furniture,3.9,214,1,274.83
beauty,3.1,715,3,300.15
phone,4.4,234,1,505.33
appliances,4.1,169,2,1081.49
appliances,3.6,653,2,1151.41
sports,4.3,1839,3,531.7
clothing,3.9,613,2,123.39
appliances,2.7,1935,2,1230.0
food,3.6,482,2,55.92
clothing,2.9,2502,3,212.65
furniture,4.4,208,2,1565.45
sports,4.4,4321,3,592.38
clothing,4.1,25,1,93.48
beauty,3.3,489,1,58.93
sports,3.6,647,2,285.88
beauty,4.9,938,3,376.77
phone,3.6,13,1,370.66
beauty,4.7,326,2,239.35
beauty,3.5,301,1,112.71
furniture,2.9,126,1,622.74
books,5.0,139,2,72.92
sports,3.6,219,1,237.46
toys,4.7,780,3,191.25
clothing,3.9,2984,3,253.87
clothing,3.4,249,1,117.88
sports,4.5,230,1,175.2
furniture,4.5,417,1,1092.07
sports,4.3,46,1,217.95
furniture,4.4,342,1,877.4
appliances,4.0,35,1,450.1
sports,3.8,281,1,178.95
phone,4.7,132,1,212.1
phone,3.4,206,2,1043.72
furniture,3.6,1775,3,1972.89
electronics,3.8,1055,2,668.68
clothing,3.6,186,1,89.56
appliances,4.3,866,3,1983.13
appliances,3.6,1905,2,1922.79
books,4.2,655,3,76.37
furniture,3.8,2237,3,1998.48
beauty,4.0,1297,2,242.71
food,4.6,164,2,48.04
books,4.3,99,1,42.36
toys,3.7,209,2,68.55
toys,4.9,252,1,43.73
clothing,4.9,58,1,17.69
phone,3.9,1048,3,1352.67
electronics,4.6,152,1,168.19
books,4.2,629,1,23.77
toys,3.8,2291,3,189.51
food,3.9,120,2,39.02
clothing,4.5,1000,3,216.79
books,4.0,404,3,77.23
sports,4.2,676,3,472.66
appliances,3.7,430,3,2757.74
electronics,3.9,436,2,382.39
books,4.3,466,2,42.13
sports,4.9,211,1,82.27
sports,4.0,923,3,529.05
electronics,3.4,476,1,221.36
furniture,4.0,612,3,1699.36
books,4.1,131,1,34.81
food,4.6,411,3,63.45
electronics,4.4,198,1,188.09
beauty,3.8,87,1,103.65
food,3.8,308,2,46.42
sports,3.5,126,1,137.34
beauty,4.2,2136,3,317.97
appliances,3.9,927,2,2129.4
beauty,2.4,30,1,141.0
sports,3.9,80,1,35.53
appliances,4.5,1026,3,2890.33
electronics,4.1,1186,2,517.57
food,4.6,1780,2,51.97
appliances,5.0,658,1,430.87
sports,3.6,183,1,223.86
phone,3.9,337,2,669.84
sports,3.8,614,3,455.02
toys,3.7,2457,3,154.72
books,4.2,860,2,42.79
appliances,5.0,1618,2,1869.15
clothing,3.5,197,2,189.72
toys,3.9,1464,3,156.0
furniture,4.3,1346,2,1433.13
furniture,3.5,195,1,883.79
toys,3.7,503,3,184.23
food,5.0,56,1,5.9
appliances,4.0,565,1,719.99
electronics,4.7,662,1,186.48
phone,3.4,100,2,783.53
appliances,4.4,2006,3,2122.42
electronics,3.1,146,2,553.8
furniture,3.8,768,1,404.25
phone,4.3,272,1,572.02
electronics,4.1,636,3,829.32
electronics,3.7,413,1,219.08
food,2.8,138,2,52.75
books,4.7,222,1,11.2
books,4.3,1365,3,87.76
furniture,3.7,469,2,1432.14
sports,3.0,85,1,151.09
phone,3.8,42,1,222.69
books,3.3,106,1,17.92
beauty,4.3,1286,3,343.51
sports,3.8,720,1,237.21
electronics,4.7,1183,2,582.91
furniture,4.1,421,3,2549.01
clothing,2.5,401,2,141.41
phone,3.6,79,1,372.06
food,4.8,549,2,39.65
furniture,3.9,195,1,213.71
sports,4.1,3393,3,552.45
furniture,3.3,146,2,1194.71
books,4.2,228,2,69.91
clothing,3.8,532,3,188.96
clothing,3.2,344,1,118.07
toys,4.0,451,3,157.92
books,3.9,316,2,63.5
phone,3.7,616,3,1265.13
electronics,4.5,407,3,736.76
beauty,3.7,242,1,25.34
sports,2.4,1248,2,320.44
clothing,3.1,712,2,204.83
electronics,5.0,130,1,450.62
electronics,4.3,315,1,157.82
appliances,3.4,421,2,1243.67
electronics,3.6,259,1,121.73
sports,3.8,3034,3,483.8
phone,3.2,420,2,877.25
books,3.7,688,3,85.09
sports,3.1,1834,3,513.81
beauty,4.5,277,2,157.97
appliances,3.4,117,1,827.27
books,4.4,1292,2,48.48
toys,3.5,458,2,84.35
clothing,3.8,1944,2,150.13
toys,4.1,1033,2,80.18
furniture,4.0,1908,3,2467.26
appliances,4.0,55,1,710.52
food,4.9,1284,2,36.35
beauty,5.0,58,1,53.24
sports,3.9,657,2,343.72
books,5.0,56,1,35.75
food,4.7,118,2,53.46
clothing,2.2,2565,3,239.93
furniture,3.9,250,1,488.36
sports,4.9,402,1,137.64
books,4.8,827,2,68.69
phone,4.9,1262,3,1500.99
electronics,4.4,2076,3,712.4
sports,3.9,2523,3,505.89
clothing,3.8,1273,3,285.87
food,3.6,1968,3,61.39
books,4.8,561,3,76.51
food,5.0,114,1,11.68
toys,3.9,95,1,26.19
furniture,4.2,1174,3,2104.85
food,4.4,1940,3,63.97
appliances,3.0,628,2,1538.18
toys,4.5,1070,2,122.12
food,3.6,869,3,78.19
furniture,2.8,1029,3,2127.24
phone,3.8,2644,3,1182.9
clothing,4.3,3449,3,215.17
sports,3.1,1074,2,298.48
furniture,3.8,384,2,1511.2
books,5.0,3170,3,80.61
food,3.2,643,3,72.24
electronics,3.9,668,3,939.05
electronics,3.6,959,3,906.56
phone,4.4,178,1,292.59
furniture,4.1,490,2,1584.82
clothing,3.5,749,2,150.57
furniture,4.6,334,2,1662.95
clothing,3.5,294,1,80.85
sports,3.2,1887,3,383.36
phone,3.7,4629,3,1503.84
appliances,4.1,1013,3,2342.98
food,4.0,313,1,10.62
phone,3.2,1504,3,1048.66
sports,3.4,208,1,217.86
electronics,5.0,29,1,228.35
sports,4.0,519,3,519.75
books,3.6,29,1,19.51
books,3.6,1247,3,85.14
beauty,4.1,177,1,96.57
food,3.8,1173,2,38.33
books,4.3,735,1,28.14
sports,3.1,1169,2,362.24
sports,5.0,1026,3,527.94
toys,4.3,524,2,125.73
furniture,3.3,1032,2,1462.68
sports,3.8,3997,3,474.47
food,3.9,582,1,28.77
electronics,4.3,1329,2,426.6
electronics,3.5,671,3,735.0
appliances,3.9,347,1,181.74
appliances,3.4,2158,3,2010.99
phone,3.9,1396,2,883.03
beauty,3.9,161,1,120.67
appliances,3.9,455,1,642.95
books,3.6,164,2,50.08
appliances,4.6,2946,3,3141.59
food,4.6,1255,3,75.44
beauty,3.8,127,2,217.15
toys,4.0,1403,3,189.98
electronics,3.8,215,1,405.49
furniture,3.6,991,3,2192.65
food,4.3,1772,2,59.42
phone,4.3,947,2,761.37
